State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Georgia,3897,3645,4256,4248,4761,4734,4829,4701,4832,4985,4764,4932,4849,4921,5423,5802,6013,6359,6943,7388,7327,6920,7001,7103,7288,7447,7673,7855,8284,8607,9087,9331,9520,9381,9570,9876,10200,10439,10092,9725,9235,8991,9028
Hawaii,5642,5380,5203,6265,6265,6638,6826,7064,6919,6975,7215,6886,7199,6933,6974,7368,7096,7287,7376,7629,8465,8494,8545,8601,8449,8188,8055,8153,8273,8737,8654,9243,9919,10339,10675,11348,12682,12676,12969,12646,12215,12000,12000
Idaho,3682,3724,3908,4154,4634,4660,4487,4937,5087,5176,5235,4785,4729,4546,4922,4957,4987,4987,5101,5395,5631,5654,5564,5641,5972,6177,6353,6564,6888,7101,7508,7600,7447,7473,7498,7433,7450,7467,7444,6929,6242,5898,5868
Illinois,5554,5422,5923,6131,6699,6529,6368,6645,7094,7492,7255,6751,6536,6465,6762,6981,7174,7608,8190,8351,8614,8393,8505,8276,8382,8128,8508,8716,9213,9556,10028,10082,10147,10427,10555,10471,10753,11122,11593,11126,10504,10192,10093
Indiana,4421,4482,4490,4761,4981,4996,4990,5127,5509,5710,5421,5486,5389,5558,6072,6203,6509,6876,7553,7888,8058,7969,8005,8154,8168,8279,8847,8865,9254,9664,10049,9817,9867,10215,10582,10259,10175,9525,9679,9619,9540,9500,9500
Iowa,5089,5336,5310,5545,5883,6331,6402,6592,7092,7235,7553,7151,7024,6923,7137,7121,7191,7697,7733,7739,7759,8046,7965,7882,7910,8072,8390,8561,8659,8962,9321,9370,9274,9240,9447,9600,9816,9963,10150,10037,9888,9813,9787
Kansas,4449,4480,4868,5246,5638,4863,5672,5812,6429,6562,6956,6716,6689,6707,7109,7292,7238,7412,7708,7924,7789,7642,7894,7900,7883,7914,8010,8098,8398,8674,9389,9572,9128,9421,9404,9927,10358,10629,10672,10176,9514,9183,9149
Kentucky,3682,3545,3575,3785,4104,4213,4218,4504,4924,5206,4935,4634,4559,4700,4707,4685,4989,5395,5779,6250,6845,7038,6907,7004,6860,7079,7816,7425,10222,10460,10863,8319,8157,8316,8462,8811,8899,9389,9189,8926,8576,8401,8341
Louisiana,4332,4456,4480,4684,5050,5038,4875,5191,5242,5446,6854,6259,5857,5478,5994,6222,5758,5746,6025,6696,6767,6736,6427,6426,6575,6549,6743,7390,7717,7881,7990,8337,8477,8809,9100,9750,10016,10749,11112,10748,10262,10019,9956
Maine,4173,4383,4275,4799,4974,4539,4821,5024,5222,5657,5438,5451,5501,5789,6325,7023,7275,7893,8316,9057,8743,8695,9014,8658,9100,9059,9373,9573,9986,10271,10790,11164,11442,11808,12271,12456,13049,12634,12742,12316,11747,11463,11293
Maryland,5401,5526,5686,6071,6715,6753,6784,7074,7449,7664,7780,7532,7291,7636,7954,8245,8530,9106,9770,10295,10415,9943,9712,9624,9701,9710,9813,9949,10047,10413,10907,11063,11208,11429,11902,12534,13435,14241,14367,14105,13755,13580,13678
Massachusetts,5611,5337,5768,6698,6960,7507,7544,7993,8224,8517,8245,7439,7391,7411,8003,8473,9095,9884,10534,10651,10330,9986,9842,9985,10239,10358,10522,10875,11219,11839,12412,12932,12808,13346,13814,13887,14326,14707,15201,14772,14200,13914,13972
Michigan,5583,5749,5947,6585,6762,6881,6754,7437,8087,8342,8717,7979,7688,7398,7806,8111,8152,8659,9090,9402,9473,9641,9527,9542,9759,9993,10453,10494,10841,11646,11615,11171,10752,11018,11080,11001,11068,10823,10849,10412,9830,9539,9533
Minnesota,5724,5906,6099,6352,6936,6872,6892,7133,7361,7677,7595,7313,6982,7180,7685,7863,8028,8225,8671,8678,8687,8539,8350,8305,8492,8543,8756,8895,9266,9603,10026,9781,9930,10183,10344,10524,10746,10807,11487,10802,9890,9433,9964
Mississippi,3342,3442,3551,3793,4051,4035,4279,4684,5057,5243,4530,4212,4468,4720,4812,4721,4520,4810,5211,5419,5281,5113,5063,5302,5732,5819,5941,6138,6399,6917,6996,6969,7093,7511,7770,8242,8359,8475,8434,8043,7521,7261,7262
Missouri,4003,4273,4395,4690,4984,4988,4997,5207,5490,5764,5865,5523,5312,5552,5813,6021,6366,6818,7372,7519,7502,7189,6920,7145,7345,7499,7665,7831,8054,8356,8819,9033,9177,9138,9324,9506,9689,9987,10058,9792,9438,9261,9220
Montana,4648,4577,4850,5628,6169,6425,6594,6852,7107,7567,7384,7181,7210,7346,7636,7758,7714,7719,7476,7832,8266,8097,7864,7840,7754,7730,7858,7979,8141,8462,8838,8943,9178,9480,9650,9911,10244,10473,10585,10316,9958,9779,9792
Nebraska,4959,4847,5062,5471,5920,5868,6186,6208,6611,6768,6762,6745,6790,6844,7176,7211,7190,7389,7876,8410,8316,8291,8115,8256,8385,8377,8359,8287,8506,8937,9473,9787,9886,10240,10434,10713,11011,10956,10915,10718,10455,10324,10169
Nevada,4500,4782,4842,5126,5318,5524,5401,5784,5947,6379,5803,5890,5808,5589,5739,6717,6445,6565,6841,7048,7541,7627,7444,7250,7140,7205,7283,7381,7610,7719,7632,7700,7460,7767,8073,8246,8737,8794,8703,8531,8303,8189,8092
New Hampshire,4375,4457,4711,4852,5345,5115,5250,5126,5489,5790,6139,5985,6042,6094,6535,6824,7298,8122,8312,8840,9048,8787,8603,8447,8403,8453,8227,8626,8776,9201,9594,10067,10505,11100,11594,11945,12368,12838,13161,12838,12407,12192,12174
New Jersey,6342,6528,6822,7487,7962,7583,7848,8334,8797,9445,8829,8964,8907,9135,9113,10801,11157,12060,12986,13938,14342,14607,14056,14109,13854,13786,14749,14525,15023,14906,15562,15838,15390,16160,16750,17182,18113,18928,17752,17742,17728,17721,17571
New Mexico,4078,4235,4296,4527,4947,5120,5256,5597,5934,6253,6228,6369,6391,6012,6307,6119,6220,6350,6407,6365,6599,6590,6297,6384,6647,6780,6881,6961,7398,7790,8279,8701,8724,9174,9295,9599,9917,9981,10091,9552,8833,8474,8476
New York,8219,8162,8352,9342,9742,9176,8617,9211,9358,9863,9721,9715,9721,9980,10500,10974,11438,12334,12780,13024,13191,12554,12452,12545,12545,12314,12882,13019,13437,13901,14814,14873,14647,15312,16259,16793,17422,18041,18561,17879,16971,16516,16788
North Carolina,3777,3830,4068,4533,4959,4682,4688,4951,5315,5467,5639,5208,4839,4854,5382,5789,5961,6276,6902,7423,7442,7124,7093,7059,7099,6950,7046,7323,7692,8084,8315,8212,8036,8012,8422,8498,8727,8282,8851,8283,7524,7145,6923
North Dakota,4252,4487,4682,5043,5290,5672,5676,5978,6249,6490,6556,6889,6551,6479,6742,6727,6398,6447,6980,7202,6866,6964,6899,6817,6765,6888,6871,7032,7400,7578,8032,8482,8412,8885,9823,10028,9717,10016,10252,10218,10173,10150,10457
Ohio,4387,4425,4697,4992,5275,5311,5337,5546,5849,6333,6392,6050,5950,6211,6678,6862,6906,7155,8081,8369,8338,8583,8190,8269,8346,8349,8510,8644,8948,9413,9989,10284,10570,10940,11071,11136,11136,11107,11159,10827,10384,10163,10011
Oklahoma,3627,3794,3923,4353,4735,4807,5015,5280,5795,6050,6226,6612,6321,6009,5853,6178,5831,5766,6067,6083,6392,6472,6556,6898,6842,6700,6910,7038,7247,7250,7937,7920,7459,7456,7843,7976,8326,8253,8239,7835,7296,7026,6977
Oregon,5512,5752,5991,6324,6921,7073,7023,7262,7781,8064,8388,7799,7608,7418,7648,7808,7877,8491,8830,8985,9124,8840,8951,8585,8527,8528,8486,8965,9331,9611,9911,9704,9173,9230,9574,9933,10039,10275,10052,9702,9236,9003,8858
Pennsylvania,5259,5593,6126,6379,6854,6856,6867,7145,7412,7784,7824,7392,7426,7555,8573,8430,8684,9162,9927,10598,10623,10281,10212,10016,9910,10195,10317,10193,10299,10560,10841,10834,11016,11763,12144,12321,12221,12613,12864,12474,11955,11695,11704
Rhode Island,5200,5352,5675,6160,6883,5439,6649,7205,7701,7824,8002,7250,7805,8011,8557,8943,9149,9802,10751,10913,10422,10222,10419,10566,10756,10757,11117,11276,11546,12177,12490,12267,12672,13422,13844,14487,15076,15533,15395,14978,14422,14144,14596
South Carolina,3613,3674,4018,4236,4600,4462,4471,4816,4976,5340,4898,4746,4581,4887,5657,5920,6008,6256,6608,6963,7042,6859,6731,6741,6795,7039,7312,7498,7796,8197,8667,8898,8620,8695,8957,9330,9533,9733,9652,9206,8611,8314,8521
South Dakota,4369,4386,4525,4815,5044,5446,5165,5306,5672,5953,5682,5743,5672,5745,6019,6102,5946,6113,6477,6486,6545,6608,6586,6367,6447,6216,6270,6528,7163,7540,8129,8141,8017,8564,8856,8934,9037,9168,8935,8663,8301,8120,8092
Tennessee,3505,3561,3649,3993,4609,4109,4765,4762,4922,5092,5050,4680,4583,4448,4922,5142,5366,5684,6237,6289,6184,5756,5883,5930,6063,6144,6797,7222,7184,7386,7693,7888,7491,7834,8128,8048,7989,8400,8359,8175,7930,7808,7854
Texas,3669,3924,4127,4300,4761,5074,5060,5473,5488,5816,5520,5333,5997,5744,6482,6472,6408,6637,6878,7083,7110,7125,6843,6977,7213,7388,7528,7573,7730,8408,8576,8561,8739,8664,8597,8595,8797,8970,8955,8629,8194,7977,7907
Utah,3801,3919,3984,4269,4594,4685,4723,4962,5230,5202,5156,4642,4563,4343,4570,4724,4542,4582,4649,4760,4860,4767,4755,4984,5145,5308,5552,5674,5889,6019,6328,6397,5924,6047,6189,6279,6397,6422,6799,6388,5840,5566,5606
Vermont,5156,5482,5409,5817,6238,5733,5806,6032,6272,6453,7076,6987,7038,7212,7612,8070,8319,9807,9979,10659,10987,10475,10020,9741,9611,9555,9807,9977,10287,11169,12016,12409,12802,13583,14205,14713,15273,15492,15788,15284,14612,14275,14351
Virginia,4402,4573,4732,5089,5460,5379,5420,5301,5549,6098,6103,5838,5952,6010,6458,6912,7156,7710,8115,8663,8721,8245,8120,8092,8182,8142,8498,8676,8892,9342,9586,9496,9578,9958,10543,10860,11447,11456,11430,10918,10236,9895,10072
Washington,5152,5341,5477,5973,6374,6370,6323,7031,7241,7980,7128,6479,7180,7245,7584,7577,7472,7713,7794,8095,8171,8221,8366,8305,8267,8264,8195,8401,8295,8526,8852,8899,8881,8955,9156,9174,9552,9730,10025,9724,9322,9122,8918
West Virginia,4012,4301,4131,4336,4683,4941,5034,5209,5352,5846,5934,6308,6142,5983,6582,6841,7076,7124,6875,7425,8028,7880,8187,8228,8549,8661,8717,8821,9105,9583,9896,9935,10187,10405,10707,10847,10900,10806,11093,10786,10377,10173,10119
Wisconsin,5275,5380,5465,5783,6272,6418,6410,6696,7157,7437,7393,7020,7067,7123,7580,7917,8144,8552,9141,9272,9452,9468,9574,9524,9511,9598,9713,9908,10235,10439,10810,10916,11026,11195,11574,11481,11542,11504,11607,11003,10197,9795,9798
Wyoming,5214,5577,5800,6077,6554,6962,6728,6985,7253,7920,8315,8402,9044,9605,9819,9992,9829,9440,9660,9677,9326,8973,8754,8603,8684,8581,8536,8680,9328,9913,10278,10958,11002,11277,12091,13141,14793,14814,15220,15023,14760,14629,14499
