State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Georgia,3992,3792,4489,4333,4635,4682,4940,4785,4885,4861,4539,4873,4943,5205,5639,6072,6411,6656,7234,7635,7555,7167,7390,7518,7791,7991,8256,8510,9046,9352,9741,10092,10472,10204,10358,10675,10951,11371,10876,10677,10312
Hawaii,5780,5598,5488,6389,6100,6566,6983,7190,6995,6802,6875,6803,7340,7332,7253,7711,7566,7628,7685,7884,8729,8797,9641,9095,8974,8667,8534,8672,8868,9324,9112,9820,10724,11053,11367,12075,13410,13604,13769,13052,13058
Idaho,3772,3874,4123,4237,4512,4609,4590,5025,5142,5048,4988,4727,4822,4807,5119,5188,5317,5220,5314,5576,5806,5856,5922,6011,6359,6559,6755,7023,7421,7618,7940,8111,8083,8019,7999,7925,7887,8022,7906,7911,7452
Illinois,5690,5641,6248,6253,6522,6458,6515,6764,7172,7307,6913,6670,6664,6838,7032,7306,7648,7964,8533,8630,8882,8693,9608,9366,9530,9225,9218,9493,10139,10456,10833,10963,11246,11459,11527,11439,11682,12274,12744,13495,13236
Indiana,4529,4663,4736,4856,4849,4941,5105,5218,5569,5569,5166,5420,5495,5878,6315,6492,6940,7198,7869,8151,8309,8253,8556,8712,8751,8827,9394,9413,9939,10320,10599,10451,10688,10924,11263,10932,10765,10230,10287,10586,10153
Iowa,5213,5551,5601,5656,5727,6262,6549,6710,7170,7056,7197,7065,7162,7322,7422,7453,7666,8057,8057,7998,8000,8334,8742,8691,8712,8828,8977,9193,9374,9661,9888,10025,10269,10030,10105,10271,10463,10870,11055,11255,11247
Kansas,4557,4660,5134,5351,5490,4810,5803,5916,6500,6400,6628,6635,6819,7094,7393,7632,7717,7759,8031,8189,8031,7915,8529,8427,8451,8471,8453,8608,8969,9216,9841,10164,10205,10385,10310,10878,11292,11689,11650,11362,11143
Kentucky,3771,3688,3771,3860,3995,4167,4315,4584,4978,5077,4702,4578,4648,4971,4895,4903,5319,5647,6021,6459,7058,7289,7575,7710,7604,7834,8156,8073,8536,8733,8676,9257,9289,9357,9551,9925,9919,10260,9940,10313,10397
Louisiana,4438,4636,4725,4777,4916,4983,4987,5283,5299,5311,6530,6184,5971,5794,6233,6512,6139,6014,6278,6919,6978,6977,7215,7242,7293,7247,7496,7998,8426,8567,8563,9027,9422,9661,9932,10665,10880,11890,12189,12334,12241
Maine,4275,4560,4509,4894,4842,4489,4932,5114,5280,5517,5182,5386,5609,6122,6577,7351,7756,8262,8664,9360,9015,9006,9689,9310,9782,9679,9868,10096,10581,11078,11489,12005,12539,12651,13074,13268,13837,13612,13597,14022,13962
Maryland,5533,5749,5997,6192,6537,6680,6939,7200,7531,7475,7413,7441,7434,8076,8272,8629,9094,9532,10179,10639,10739,10298,10646,10560,10694,10667,10617,10809,10993,11323,11709,11979,12416,12516,12918,13604,14514,15639,15598,15996,15875
Massachusetts,5747,5553,6084,6831,6777,7425,7717,8136,8315,8306,7856,7350,7536,7838,8322,8867,9697,10346,10975,11007,10651,10343,10588,10768,11086,11185,11326,11757,12294,12838,13343,13972,14089,14503,14945,15029,15415,16074,16451,16721,15982
Michigan,5719,5982,6273,6716,6584,6806,6909,7570,8176,8136,8306,7883,7838,7825,8118,8489,8691,9064,9471,9716,9768,9986,10555,10514,10823,11081,10784,11130,11576,12373,11747,11926,12035,12159,12160,12039,12048,11832,11739,11850,11746
Minnesota,5863,6145,6433,6479,6753,6797,7050,7260,7442,7487,7237,7225,7118,7594,7992,8229,8559,8610,9034,8968,8957,8844,8861,8823,9075,9101,9155,9520,10002,10327,10624,10459,10797,10953,11072,11260,11426,11665,12273,11968,11786
Mississippi,3424,3581,3745,3869,3944,3991,4377,4767,5113,5113,4317,4161,4556,4992,5004,4941,4819,5035,5430,5600,5445,5296,5539,5790,6292,6370,6310,6550,6860,7373,7358,7395,7876,8239,8470,8951,8993,9223,9067,9158,8811
Missouri,4101,4445,4635,4784,4852,4933,5111,5300,5551,5621,5589,5457,5416,5872,6046,6301,6787,7137,7681,7770,7735,7446,7525,7731,8003,8139,8235,8452,8756,9063,9433,9794,10001,9833,9997,10226,10388,10884,10874,11034,10596
Montana,4762,4762,5116,5740,6006,6355,6746,6974,7185,7380,7035,7094,7351,7769,7941,8119,8224,8080,7789,8093,8523,8386,8359,8331,8262,8200,8319,8485,8723,9019,9296,9486,9926,10135,10274,10533,10806,11180,11202,11759,11745
Nebraska,5079,5043,5339,5580,5764,5804,6328,6318,6684,6601,6443,6664,6922,7238,7463,7547,7665,7735,8206,8691,8574,8587,8639,8809,8998,8954,8948,8924,9230,9650,10102,10533,10831,11103,11260,11561,11821,12063,11924,12646,12524
Nevada,4609,4975,5107,5228,5178,5464,5525,5888,6012,6221,5530,5819,5921,5911,5968,7030,6871,6872,7128,7284,7776,7900,7901,7704,7620,7666,7739,7876,8188,8253,8044,8189,8086,8319,8600,8780,9241,9437,9226,9340,9236
New Hampshire,4482,4637,4969,4948,5204,5059,5370,5218,5549,5647,5849,5913,6160,6445,6796,7142,7781,8502,8660,9135,9330,9101,9146,8992,8977,9004,9039,9186,9448,9858,10147,10737,11428,11945,12425,12795,13121,13825,14035,14646,14941
New Jersey,6497,6791,7196,7636,7752,7501,8028,8483,8893,9212,8412,8857,9081,9661,9477,11304,11895,12624,13530,14404,14788,15128,15875,16082,15849,15730,15643,15481,16141,16029,16860,17009,17770,18400,18862,19347,20255,21440,19851,20424,19855
New Mexico,4177,4406,4531,4618,4816,5064,5377,5697,5999,6098,5934,6293,6516,6359,6559,6404,6632,6647,6675,6578,6804,6825,7082,6946,7319,7430,7356,7474,7971,8357,8762,9300,9479,9862,9979,10316,10578,10785,10816,10857,10281
New York,8420,8491,8809,9528,9485,9075,8815,9376,9461,9619,9263,9598,9911,10555,10919,11485,12195,12911,13315,13459,13601,13002,14019,14128,14194,13883,13760,13969,14554,14975,15751,15957,16808,17309,18088,18692,19419,20332,20731,21336,21046
North Carolina,3869,3985,4290,4623,4829,4631,4796,5040,5373,5332,5373,5145,4934,5133,5597,6059,6355,6570,7191,7671,7674,7378,7643,7635,7722,7534,7490,7805,8265,8647,8774,8743,8701,8580,8974,9027,9249,8904,9461,9246,9121
North Dakota,4356,4668,4939,5144,5151,5610,5806,6085,6318,6330,6247,6806,6679,6852,7011,7040,6822,6748,7272,7443,7079,7213,7302,7220,7197,7298,7290,7501,7949,8098,8473,9028,9106,9503,10488,10692,10285,10749,10922,11767,12019
Ohio,4494,4604,4954,5091,5135,5253,5460,5645,5913,6176,6090,5977,6066,6569,6945,7182,7363,7490,8420,8649,8597,8890,8711,8818,8939,8939,9097,9285,9735,10221,10588,10999,11536,11782,11859,11939,11866,12022,11979,12595,12582
Oklahoma,3715,3947,4138,4440,4610,4755,5131,5375,5859,5900,5933,6533,6444,6355,6087,6466,6216,6036,6321,6286,6591,6703,6978,7355,7326,7154,7348,7492,7953,7970,8646,8736,8450,8376,8791,8937,9280,9338,9224,9342,8852
Oregon,5646,5984,6320,6450,6739,6996,7184,7392,7867,7865,7992,7706,7757,7845,7954,8171,8398,8888,9200,9286,9408,9156,9487,9104,9078,9044,8983,9524,9976,10223,10413,10267,9908,9858,10148,10519,10559,10964,10788,10612,10500
Pennsylvania,5387,5819,6462,6506,6674,6781,7025,7273,7493,7592,7455,7304,7572,7990,8916,8822,9258,9591,10343,10952,10953,10648,10996,10780,10685,10946,10909,10825,11016,11237,11379,11469,11898,12548,12918,13091,12910,13514,13646,14187,14361
Rhode Island,5326,5568,5986,6283,6701,5379,6802,7334,7786,7630,7625,7163,7958,8473,8899,9360,9754,10260,11201,11278,10746,10587,11300,11416,11662,11623,11787,12006,12397,13027,13182,13069,13720,14384,14774,15451,15981,16710,16406,16486,16457
South Carolina,3701,3823,4239,4321,4479,4413,4573,4902,5031,5208,4667,4689,4670,5168,5883,6196,6406,6548,6884,7195,7261,7104,7165,7183,7279,7517,7718,7950,8329,8928,9355,9642,9538,9505,9750,10154,10312,10688,10487,10370,9995
South Dakota,4475,4563,4773,4911,4911,5387,5283,5400,5734,5806,5414,5674,5783,6076,6259,6386,6339,6399,6748,6702,6748,6844,7046,6842,6940,6695,6721,6967,7687,8082,8585,8684,8766,9250,9443,9518,9566,9853,9591,10064,9847
Tennessee,3591,3705,3849,4072,4487,4064,4875,4847,4976,4966,4812,4623,4673,4704,5118,5382,5721,5949,6498,6499,6376,5962,6395,6449,6628,6684,7114,7506,7672,7884,8063,8219,8331,8584,8795,8713,8608,9190,8942,9112,9484
Texas,3759,4082,4353,4386,4636,5019,5176,5571,5548,5672,5260,5269,6114,6075,6741,6773,6832,6947,7167,7320,7332,7379,7441,7605,7909,8079,8232,8319,8553,9254,9323,9435,9813,9630,9522,9503,9662,10000,9880,10200,9926
Utah,3893,4077,4202,4354,4472,4634,4832,5050,5288,5073,4913,4586,4653,4593,4752,4944,4842,4797,4844,4919,5011,4937,5143,5399,5600,5764,5882,6037,6313,6421,6661,6801,6628,6700,6656,6674,6752,6940,7270,7120,6989
Vermont,5282,5703,5705,5933,6073,5670,5940,6140,6341,6293,6743,6903,7175,7628,7916,8446,8869,10266,10397,11015,11328,10849,10809,10527,10410,10315,10447,10704,11241,12157,12894,13460,14172,14920,15627,16221,16758,17305,17473,18649,17939
Virginia,4509,4758,4991,5190,5316,5320,5545,5396,5610,5948,5815,5768,6069,6356,6716,7234,7630,8070,8454,8952,8992,8540,8800,8802,8915,8853,9004,9233,9533,9966,10111,10162,10430,10726,11307,11646,12196,12467,12313,11985,11531
Washington,5278,5557,5777,6092,6206,6301,6468,7157,7321,7782,6792,6401,7321,7663,7887,7930,7966,8074,8121,8366,8425,8514,8857,8799,8805,8814,8698,8968,8925,9115,9346,9484,9635,9615,9784,9798,10097,10444,10651,10593,10561
West Virginia,4110,4475,4357,4422,4559,4887,5150,5302,5410,5701,5654,6232,6262,6328,6845,7159,7544,7457,7163,7673,8278,8162,8866,8926,9219,9317,9338,9505,9910,10404,10600,10761,11270,11368,11639,11827,11731,12006,12229,13613,13710
Wisconsin,5403,5597,5764,5898,6107,6348,6558,6815,7236,7253,7044,6936,7206,7534,7883,8286,8683,8952,9524,9582,9746,9806,10331,10244,10285,10336,10488,10744,11187,11360,11644,11872,12209,12258,12624,12559,12578,12779,12834,13261,13641
Wyoming,5341,5802,6118,6198,6381,6886,6883,7110,7333,7724,7923,8301,9221,10158,10211,10458,10479,9882,10065,10001,9616,9294,9215,9065,9189,9049,9009,9203,9938,10555,10773,11554,12050,12281,12825,13933,15576,15821,16082,16809,17163
US Avg Minus CA,5098,5267,5571,5805,5961,5999,6184,6445,6672,6760,6587,6538,6717,6978,7334,7639,7928,8195,8645,8898,8953,8822,9113,9140,9274,9288,9337,9522,9897,10248,10511,10691,10995,11128,11379,11559,11818,12190,12116,12352,12172
